relative_path,executed_source_sha256,public_snapshot_sha256,relationship
supplement_v9_sanitized/source/main.py,4966a21b74a2e8523e3f585faa735f55404b9a51406541146144d3fd94830aa9,975a150fb2bddcb4044837355ed8d9f7cc66a45670f22b571f4cca9e286a6c0e,sanitized dependency-path fallback only
supplement_v9_sanitized/source/vlmpc.py,6ca37cffe7b36fec6e37a9745b2df3b6a5161dcc979573e96795c36fad7dc13b,5242c2e1c49849251179339965050e163ca5b97b257390abd85db79a794a7940,reviewer-facing semantic-detector snapshot
supplement_v9_sanitized/source/vlm_client.py,8efa7bad1aa8ea7b403715b471dd434e7a7e3ddf542a10e2e95dd374c564c68c,8efa7bad1aa8ea7b403715b471dd434e7a7e3ddf542a10e2e95dd374c564c68c,byte-identical
supplement_v9_sanitized/source/stage_experiments/run_event_requery_controls.py,cd2514620f0457a377c014fb3282b1a895b7320903cb9711945c5466c060acae,e03985adc1c32e1be4e65183b5d760060ea5e8d050bb52679ffeb932842b0468,reviewer-facing wrapper with sanitized runtime defaults
supplement_v9_sanitized/source/stage_experiments/run_revision_target_image_matrix.py,b1d0827d6e5ee4e6ff4f8090a4f0f6e971bee1c52bc876ea0d187f3d10ee5abb,b1d0827d6e5ee4e6ff4f8090a4f0f6e971bee1c52bc876ea0d187f3d10ee5abb,byte-identical
supplement_v9_sanitized/source/stage_experiments/run_revision_event_recovery_audit.py,719b6a9f74e07ae29db8d95c10627194927c2541dc8bbd511e49386c40d1a4d1,719b6a9f74e07ae29db8d95c10627194927c2541dc8bbd511e49386c40d1a4d1,byte-identical
supplement_v9_sanitized/source/stage_experiments/run_opening_report_complete.py,9ed86dcfc4e9bf4f29b6bbe35e690186320e8edcd5bd859b868e687f77f2afc0,b55a6b940eba347cc043fbd3adc9d87e0977a15682f5b833938bbce9ff7400d3,reviewer-facing wrapper with corrected scene-selection labeling
