case,expected_object,n,semantic_correct,semantic_accuracy,pre_satisfied,terminal_threshold_satisfied,active_trials,active_control_successes,active_control_success_rate,joint_active_successes,joint_active_success_rate,final_distance_mean,final_distance_std,steps_mean,steps_std
red_moon,red moon,3,3,1.0,0,3,3,3,1.0,3,1.0,0.05870650957028071,0.023265622859933607,19.333333333333332,4.041451884327381
blue_cube,blue cube,3,3,1.0,0,3,3,3,1.0,3,1.0,0.06233916680018107,0.024888848613163744,12.333333333333334,9.073771725877465
yellow_pentagon,yellow pentagon,3,2,0.6666666666666666,0,2,3,2,0.6666666666666666,2,0.6666666666666666,0.1640254184603691,0.15119744839504884,22.0,10.14889156509222
overall,all,9,8,0.8888888888888888,0,8,9,8,0.8888888888888888,8,0.8888888888888888,0.09502369827694362,0.09319883806417197,17.88888888888889,8.31330927555995
