seed,controller_variant,target_success,final_target_world_distance,final_target_pixel_distance,num_steps_executed,runtime_seconds_total,plan_calls
45,baseline,False,0.1993846446275711,265.5484889808262,12,53.45232892036438,6
45,improved,False,0.22377656400203705,268.40733969100023,12,76.22588753700256,12
45,literature,False,0.16277742385864258,272.77509050497997,12,76.60796189308167,12
45,literature_v2,False,0.16277742385864258,272.77509050497997,12,76.58803224563599,12
46,baseline,False,0.43553999066352844,233.01180227619372,12,53.35683012008667,6
46,improved,False,0.4355398416519165,160.87961337596508,12,75.43748641014099,12
46,literature,False,0.4355401396751404,160.87961337596508,12,75.78503227233887,12
46,literature_v2,False,0.4355401396751404,160.87961337596508,12,75.97838640213013,12
47,baseline,False,0.2949565351009369,217.45114393812693,12,53.228360652923584,6
47,improved,False,0.2690143883228302,217.97476918212345,12,75.53242087364197,12
47,literature,False,0.24196450412273407,220.76514670572436,12,75.1873664855957,12
47,literature_v2,False,0.24196450412273407,220.76514670572436,12,75.83991646766663,12
48,baseline,False,0.4131946563720703,69.89456345095805,12,54.32010865211487,6
48,improved,False,0.4131946563720703,69.89456345095805,12,75.570143699646,12
48,literature,False,0.4131946563720703,69.89456345095805,12,75.96796655654907,12
48,literature_v2,False,0.4131946563720703,69.89456345095805,12,76.18212223052979,12
