n,mean,sd,min,median,max,succ005,succ008,succ010,suite,mean_runtime_s,mean_steps
4,0.06631176359951496,0.003544121523202867,0.06426556408405304,0.06426556408405304,0.07245036214590073,0,4,4,input_forms,49.0772984623909,21.0
3,0.05870650957028071,0.018996301518289734,0.03316491097211838,0.06426556408405304,0.07868905365467072,1,3,3,multi_seed,15.755530516306559,19.333333333333332
8,0.06779831484891474,0.015650909825154997,0.029706580564379692,0.07518366351723671,0.07983536273241043,1,8,8,multi_target,20.521619886159897,27.875
3,0.05679480607310931,0.011090887177953025,0.04111570492386818,0.06426556408405304,0.06500314921140671,1,3,3,semantic_ablation,20.30948241551717,27.0
