suite,n,success,success_rate,mean_final_world,max_final_world,mean_runtime_s,mean_steps,mean_vlm_requests
Unmodified controller comparison,4,0,0.0,0.25650645047426224,0.28250744938850403,48.87005227804184,12.0,0.0
Unmodified parameter ablation,8,0,0.0,0.2533656507730484,0.29388734698295593,31.881131678819656,10.0,0.0
Grounded controller comparison,4,4,1.0,0.06426556408405304,0.06426556408405304,81.09431183338165,23.0,0.0
Grounded parameter ablation,8,8,1.0,0.06426556408405304,0.06426556408405304,101.43396055698395,23.0,0.0
Event-triggered grounded run,1,1,1.0,0.06426556408405304,0.06426556408405304,116.48612475395203,23.0,2.0
Semantic MPC full rerun,18,18,1.0,0.05999607820477751,0.0770750567317009,40.497884233792625,20.666666666666668,0.2222222222222222
