controller_variant,n_seeds,seeds,successes,mean_final_pixel_distance,sample_sd_final_pixel_distance,mean_final_world_distance,sample_sd_final_world_distance
baseline,4,"45,46,47,48",0,196.47649966152622,86.73463422612122,0.3357689566910267,0.1098716410546272
improved,4,"45,46,47,48",0,179.28907142501168,85.1365872588047,0.3353813625872135,0.1047963675554487
literature,4,"45,46,47,48",0,181.07860350940683,87.08837925604102,0.31336918100714684,0.1324982690147699
literature_v2,4,"45,46,47,48",0,181.07860350940683,87.08837925604102,0.31336918100714684,0.1324982690147699
